":LapTime",":Time","Speed","Speed Input","Steering Angle"
688,688,64.332,68.1,-128
689,689,65.196,65.1,-128
690,690,57.708,53.4,-128
691,691,35.64,32.6,-128
692,692,46.476,49.1,-128
693,693,64.656,68.3,-128
694,694,78.66,80.8,-128
695,695,85.932,87.7,-128
696,696,65.016,62,-128
697,697,49.644,52.9,-128
698,698,59.544,59.3,-128
699,699,70.452,69.6,-128
700,700,49.14,45.5,-128
701,701,44.136,36.5,-128
702,702,59.94,61.5,-128
703,703,77.508,81.3,-128
704,704,81.828,84.1,-128
705,705,77.22,80.8,-128
706,706,81.18,77.5,-128
707,707,52.2,49.8,-128
708,708,48.744,47.1,-128
709,709,37.44,33.3,-128
710,710,42.984,46,-128
711,711,48.24,46.1,-128
712,712,38.304,41.1,-128
713,713,54.828,58.1,-128
714,714,66.78,67.8,-128
715,715,64.836,62,-128
716,716,38.376,34.9,-128
717,717,40.428,31.6,-128
718,718,50.256,52.9,-128
719,719,48.996,53.1,-128
720,720,66.024,68.4,-128
721,721,76.32,77.9,-128
722,722,89.028,91.6,-128
723,723,87.192,84.7,-128
724,724,62.496,65.1,-128
725,725,71.82,74.8,-128
726,726,70.092,65.1,-128
727,727,43.056,37.7,-128
728,728,49.716,48.3,-128
729,729,62.784,66.1,-128
730,730,58.788,59.6,-128
731,731,52.884,56.4,-128
732,732,64.8,59.3,-128
733,733,53.424,47.7,-128
734,734,59.796,61.8,-128
735,735,56.124,55.5,-128
736,736,49.608,52.4,-128
737,737,43.776,46.6,-128
738,738,56.34,59.3,-128
739,739,67.752,69.5,-128
740,740,47.196,41.2,-128
741,741,35.82,30.8,-128
742,742,50.004,50.4,-128
743,743,57.168,56.2,-128
744,744,36.18,38.6,-128
745,745,38.592,42,-128
746,746,58.104,61.4,-128
747,747,65.628,65,-128
748,748,45.036,45.7,-128
749,749,41.256,43.6,-128
750,750,50.328,43.3,-128
751,751,33.084,31.8,-128
752,752,45.972,49.7,-128
753,753,38.556,36.6,-128
754,754,37.836,41.6,-128
755,755,51.588,52.2,-128
756,756,63.792,67.4,-128
757,757,66.6,65,-128
758,758,77.22,77.9,-128
759,759,88.02,89.9,-128
760,760,89.604,88.6,-128
761,761,61.74,60.8,-128
762,762,61.848,63.3,-128
763,763,52.344,51.7,-128
764,764,46.908,47.3,-128
765,765,44.64,43.8,-128
766,766,32.256,29,-128
767,767,32.22,30.6,-128
768,768,44.496,46.8,-128
769,769,58.716,60.1,-128
770,770,62.1,62.9,-128
771,771,73.044,76.3,-128
772,772,69.156,67.6,-128
773,773,70.272,74.1,-128
774,774,62.028,58.3,-128
775,775,68.868,71.1,-128
776,776,61.2,57.8,-128
777,777,52.308,51.2,-128
778,778,40.464,39.6,-128
779,779,32.436,35.2,-128
780,780,34.452,33.9,-128
781,781,33.3,35.3,-128
782,782,51.912,54.2,-128
783,783,63.72,64.5,-128
784,784,52.92,50.1,-128
785,785,53.1,52.7,-128
786,786,45.828,49.2,-128
787,787,49.968,46.8,-128
788,788,42.624,45.6,-128
789,789,49.86,47.6,-128
790,790,53.496,56.4,-128
791,791,69.84,70.6,-128
792,792,78.516,76.4,-128
793,793,57.564,54.5,-128
794,794,41.256,40.2,-128
795,795,28.332,27.4,-128
796,796,26.28,27.3,-128
797,797,19.548,20.6,-128
798,798,20.52,24.3,-128
799,799,23.4,23.7,-128
800,800,23.58,24.1,-128
801,801,19.188,19.8,-128
802,802,20.088,20.1,-128
803,803,17.712,17.5,-128
804,804,5.868,5.8,-128
805,805,0.072,0.6,-128
806,806,0,0,-128
807,807,0.18,0,-128
808,808,0.216,0,-128
809,809,0.036,0,-128
810,810,0.072,0,-128
811,811,0.036,0,-128
812,812,0.036,0,-128
813,813,0.036,0,-128
814,814,0.036,0,-128
815,815,0.072,0,-128
816,816,0.108,0,-128
817,817,0.108,0,-128
818,818,0,0,-128
819,819,0.036,0,-128
820,820,0,0,-128
821,821,0.144,0,-128
822,822,0.072,0,-128
823,823,0,0,-128
824,824,0.072,0,-128
825,825,0,0,-128
826,826,0.036,0,-128
827,827,0,0,-128
828,828,0.036,0,-128
829,829,0,0,-128
830,830,0.072,0,-128
831,831,0.18,0,-128
832,832,0.072,0,-128
833,833,0.144,0,-128
834,834,0.108,0,-128
835,835,0.036,0,-128
836,836,1.656,1.7,-128
837,837,6.48,6.5,-128
838,838,12.564,12.5,-128
839,839,11.232,11.4,-128
840,840,13.5,13.6,-128
841,841,12.024,12.1,-128
842,842,15.984,16.2,-128
843,843,11.772,12.2,-128
844,844,10.368,10.1,-128
845,845,8.28,8.4,-128
846,846,5.22,5.5,-128
847,847,4.824,5.1,-128
848,848,6.984,7.1,-128
849,849,5.436,6.6,-128
850,850,8.676,10.5,-128
851,851,8.028,9.1,-128
852,852,10.26,10.6,-128
853,853,4.608,4.8,-128
854,854,2.592,2.9,-128
855,855,0.036,1.2,-128
856,856,0,0,-128
857,857,0.072,0,-128
858,858,0,0,-128
859,859,0.036,0,-128
860,860,0.108,0,-128
861,861,5.292,7,-128
862,862,27.936,32.1,-128
863,863,52.164,53,-128
864,864,66.204,67.2,-128
865,865,71.676,71.1,-128
866,866,55.404,52.4,-128
867,867,44.316,46.8,-128
868,868,49.644,48.6,-128
869,869,48.564,49,-128
870,870,57.132,59.3,-128
871,871,72.468,74.5,-128
872,872,84.42,86.6,-128
873,873,94.572,96.9,-128
874,874,89.496,88.9,-128
875,875,60.408,57.4,-128
