Time,SpeedMPS,RPM,PowerW,Torque,Efficiency_Percent,PowerLoss_W
848.1,7.27,1187.2637,0.011764706,9.05647e-05,82.7362390821451,0.00203103071652853
848.2,6.69,1092.5439,0.011764706,9.84164e-05,82.3263446716528,0.00207925358883339
848.3,6.33,1033.7523,0.011764706,0.000104014,82.0529072810659,0.00211142269393001
848.4,5.76,940.6656,0.011764706,0.000114307,81.5900290720648,0.00216587895435705
848.5,6.16,1005.9896,8372.926481,76.06923376,91.4772718429441,713.601762765779
848.6,6.86,1120.3066,15849.77704,129.3038683,93.2706817622631,1066.58193699336
848.7,7.18,1172.5658,7999.178072,62.34956051,91.3502020268537,691.912742740217
848.8,7.64,1247.6884,12015.69476,88.0172924,93.3254975464097,801.987841572124
848.9,8.27,1350.5737,17564.37333,118.8610673,94.4266190443842,978.929438147483
849,8.47,1383.2357,6204.642313,40.99640887,90.0857184767877,615.145706419174
849.1,8.78,1433.8618,9660.565932,61.57728391,92.4305795861485,731.248849750393
849.2,9.03,1474.6893,8172.213402,50.6482477,91.5346981954819,691.802528588577
849.3,9.64,1574.3084,20106.54774,116.7274374,95.3292535952697,939.125855681433
849.4,9.96,1626.5676,11436.45576,64.26057269,93.3537326583882,760.097424214762
849.5,10.66,1740.8846,25500.01351,133.873828,95.7362577953248,1087.25483822375
849.6,11.08,1809.4748,16546.02687,83.5730863,95.2317325334917,788.95881624193
849.7,11.88,1940.1228,32498.91555,153.0963739,95.6741503462886,1405.85422577965
849.8,12.34,2015.2454,20294.89586,92.04159656,96.1590420675422,779.518412418729
849.9,12.96,2116.4976,28229.28209,121.9010111,96.9247858665791,868.110872594935
850,13.31,2173.6561,17265.52762,72.5962646,95.342296128606,804.177148373343
850.1,13.14,2145.8934,0.011764706,5.0107e-05,84.8191267062044,0.00178598511124756
850.2,12.76,2083.8356,0.011764706,5.15992e-05,84.7956003257728,0.00178875292073779
850.3,12.2,1992.382,0.011764706,5.39677e-05,84.7330991513198,0.00179610600015873
850.4,11.88,1940.1228,0.011764706,5.54214e-05,84.6827346236545,0.00180203123876685
850.5,11.41,1863.3671,0.011764706,5.77043e-05,84.5891453738684,0.00181304173885178
850.6,11.26,1838.8706,0.011764706,5.8473e-05,84.5542200738777,0.0018171505977153
850.7,10.62,1734.3522,0.011764706,6.19968e-05,84.378688444206,0.00183780137788319
850.8,10.52,1718.0212,0.011764706,6.25861e-05,84.3473019419552,0.00184149390759669
850.9,10.05,1641.2655,0.011764706,6.5513e-05,84.1854422552789,0.00186053622386666
851,10,1633.1,0.011764706,6.58406e-05,84.1668203639987,0.00186272703462742
851.1,9.44,1541.6464,0.011764706,6.97464e-05,83.9397688375675,0.00188943897918057
851.2,9.42,1538.3802,0.011764706,6.98944e-05,83.931004134153,0.00189047012076906
851.3,9.04,1476.3224,0.011764706,7.28325e-05,83.7567286176845,0.00191097312291155
851.4,8.78,1433.8618,0.011764706,7.49893e-05,83.6284447486953,0.00192606534294356
851.5,8.42,1375.0702,0.011764706,7.81954e-05,83.4385309568308,0.00194840814220987
851.6,8.34,1362.0054,0.011764706,7.89455e-05,83.3943773298215,0.00195360268661585
851.7,7.9,1290.149,0.011764706,8.33425e-05,83.1392259152008,0.00198362050040081
851.8,7.6,1241.156,0.011764706,8.66323e-05,82.952677124191,0.00200556741720967
851.9,7.06,1152.9686,0.011764706,9.32586e-05,82.5921843545645,0.00204797833170749
852,6.8,1110.508,0.011764706,9.68244e-05,82.4069975790538,0.00206976501139721
852.1,7.3,1192.163,12374.34152,94.86624572,93.319362411681,826.68491089208
852.2,7.42,1211.7602,3374.384732,25.45090137,87.2641875051532,429.755312322259
852.3,7.29,1190.5299,0.011764706,9.03163e-05,82.7498173711744,0.0020294332707444
852.4,7.2,1175.832,0.011764706,9.14452e-05,82.6887150725342,0.00203662177653867
852.5,7.4,1208.494,5340.058014,40.38561785,89.2716258566754,572.90140321251
852.6,7.61,1242.7891,5759.949421,42.35907706,89.662976905514,595.407301879481
