Time,SpeedMPS,RPM,PowerW,Torque,RpmFiltered,Efficiency_Percent,PowerLoss_W
37.5,12.23,1997.2813,17676.26113,80.88657153,1997.2813,95.5609366644278,784.660426921831
37.6,12.49,2039.7419,12295.74627,55.09407935,2039.7419,93.5370735992914,794.665031847969
37.7,12.91,2108.3321,19653.90278,85.19910588,2108.3321,96.0359665172482,779.087286866688
37.8,13.18,2152.4258,13556.0416,57.56121583,2152.4258,93.9737566736834,816.920052232706
37.9,13.98,2283.0738,38872.53096,155.6138052,2283.0738,96.3459288745248,1420.42992955077
38,14.6,2384.326,32263.34396,123.6713206,2384.326,97.4184201361821,832.903991065671
38.1,15.1,2465.981,27566.6001,102.1689041,2465.981,97.274850294668,751.2311213952
38.2,15.55,2539.4705,25952.34599,93.40254395,2539.4705,97.0213840829653,773.020708502062
38.3,16.28,2658.6868,42392.64668,145.7298799,2658.6868,97.3196683353789,1136.26353243498
38.4,16.92,2763.2052,39316.22983,130.0421025,2763.2052,97.773930902224,875.206442656222
38.5,17.43,2846.4933,33221.97161,106.669557,2846.4933,97.6342824192036,785.938023064966
38.6,17.86,2916.7166,29461.65779,92.31838577,2916.7166,97.0612768006811,865.796572378682
38.7,18.44,3011.4364,39830.05548,120.8822321,3011.4364,97.8715860695567,847.748449339627
38.8,18.74,3060.4294,23125.50911,69.06121139,3060.4294,95.2085469771436,1108.04790530202
38.9,19.34,3158.4154,43458.99773,125.7580262,3158.4154,97.8556463425655,931.914607307629
39,19.65,3209.0415,25310.04221,72.08464942,3209.0415,95.3010774364527,1189.29928424904
39.1,20.03,3271.0993,30677.30514,85.713402,3271.0993,96.3549586843308,1118.20044688692
39.2,20.32,3318.4592,25124.96619,69.19811407,3318.4592,94.8219938512915,1300.97229417914
39.3,20.42,3334.7902,12186.52135,33.39923287,3334.7902,89.715122982718,1253.36873353231
39.4,20.36,3324.9916,1018.815831,2.800466532,3324.9916,83.1986034782719,171.175287592449
39.5,20.85,3405.0135,40006.16999,107.3824708,3405.0135,97.3365514249046,1065.54376454891
39.6,20.93,3418.0783,11322.69388,30.27561776,3418.0783,88.8719138914894,1259.99912476946
39.7,21.5,3511.165,47329.49647,123.1986362,3511.165,97.5675864129113,1151.24910283694
39.8,21.83,3565.0573,30737.21705,78.79946776,3565.0573,95.2386134201375,1463.51772764191
39.9,22.24,3632.0144,37517.92843,94.40968392,3632.0144,96.3090164713964,1384.78055862459
40,22.56,3684.2736,31432.3914,77.97417785,3684.2736,94.8594598641959,1615.79469556002
40.1,22.94,3746.3314,36816.79971,89.81835509,3746.3314,95.7213371567375,1575.26672927016
40.2,23.24,3795.3244,31235.99023,75.2197058,3795.3244,94.2589482091376,1793.27437649302
40.3,23.59,3852.4829,35899.44293,85.1671755,3852.4829,95.0509581603099,1776.67845082136
40.4,23.8,3886.778,25122.60675,59.07452239,3886.778,91.9421627517671,2024.33876442856
41.4,15.93,2601.5283,1504.932624,5.287054132,2601.5283,85.7290189307883,214.768649875431
42.3,11.69,1909.0939,717.5703374,3.435282385,1909.0939,85.3666107735036,105.004860445626
42.4,11.98,1956.4538,12901.17612,60.26774776,1956.4538,93.8911182491925,788.117593634213
42.5,12.49,2039.7419,22620.59921,101.3570922,2039.7419,96.5282266106549,785.335943883178
42.6,12.48,2038.1088,902.8850778,4.048837679,2038.1088,85.6253218290015,129.78682418772
42.7,12.72,2077.3032,11715.74225,51.5460242,2077.3032,93.2142665265244,794.999043524376
42.8,13.09,2137.7279,17801.67995,76.10861486,2137.7279,95.5359974535324,794.667446282003
42.9,13.47,2199.7857,18850.06042,78.31728558,2199.7857,95.7885633370145,793.858355522803
43,13.72,2240.6132,13312.5163,54.30233655,2240.6132,93.7393235724447,833.453569908554
43.1,14.05,2294.5055,17464.87118,69.56672176,2294.5055,95.2692473001662,826.21986487035
43.2,14.06,2296.1386,2315.091213,9.214998351,2296.1386,86.7730488559846,306.215983682904
43.3,14.43,2356.5633,19953.41933,77.38619161,2356.5633,95.9351703810023,811.072498928659
43.4,14.49,2366.3619,4953.880073,19.1332867,2366.3619,88.6788613661393,560.835630819528
43.5,14.6,2384.326,7494.443962,28.72757961,2384.326,90.3404352182006,723.930669545043
43.6,14.77,2412.0887,10619.13382,40.23658135,2412.0887,92.0934876063078,839.603131581062
43.7,15.13,2470.8803,20608.68141,76.22961974,2470.8803,95.9560954015639,833.395415216038
43.9,15.42,2518.2402,24163.09165,87.69616529,2518.2402,96.7232354733599,791.767615726738
44,15.45,2523.1395,3960.695728,14.34681414,2523.1395,87.6999708656469,487.166728467077
44.1,15.67,2559.0677,14155.52661,50.55562804,2559.0677,93.4700739114993,924.345425071045
44.2,16.44,2684.8164,45008.85225,153.2175809,2684.8164,97.0454091150795,1329.82744598585
44.3,16.46,2688.0826,3963.556069,13.47620631,2688.0826,87.3442009585861,501.619690986406
44.4,16.85,2751.7735,25195.0211,83.68108394,2751.7735,96.5756875502165,862.75624425287
44.5,17.36,2835.0616,33062.49625,106.5855659,2835.0616,97.6304177443145,783.443044426687
44.6,17.81,2908.5511,30545.30602,95.98271647,2908.5511,97.2438675842345,841.869080711984
44.7,18.54,3027.7674,49241.43944,148.6392434,3027.7674,97.4436456067326,1258.78570043253
44.8,18.72,3057.1632,15526.68346,46.41788313,3057.1632,92.4751256522131,1168.36342074361
46.2,10.16,1659.2296,17350.98327,95.57468143,1659.2296,95.2732411643225,820.139134791658
46.3,10.43,1703.3233,10312.84439,55.33585599,1703.3233,92.7722895508475,745.382531580863
46.5,10.4,1698.424,1532.180744,8.244971076,1698.424,85.9544263492075,215.203574861781
46.7,10.79,1762.1149,19586.73933,101.590518,1762.1149,95.7808385187466,826.396161244874
46.8,10.98,1793.1438,8003.337127,40.79258686,1793.1438,91.3545175937704,691.927103226026
46.9,11.31,1847.0361,13571.48797,67.15484283,1847.0361,94.2377126326694,782.0281368541
47,11.39,1860.1009,4140.526501,20.34437351,1860.1009,88.4589773834431,477.859099924941
47.1,12.62,2060.9722,51747.84043,229.4802695,2060.9722,89.2217509125235,5577.51113893526
47.2,12.82,2093.6342,10107.88813,44.12501616,2093.6342,92.3515885673979,773.09287132955
47.3,13.73,2242.2463,42935.16667,175.0068677,2242.2463,95.0699015187039,2116.74599993964
47.4,14.36,2345.1316,32133.51281,125.2322666,2345.1316,97.3460510414705,852.807028559948
47.5,14.5,2367.995,8890.069412,34.31228382,2367.995,91.2171342796006,780.802858906258
47.6,14.96,2443.1176,25294.82248,94.62644363,2443.1176,96.9844520200705,762.777508322402
47.7,15.99,2611.3269,57000.92059,199.5013698,2611.3269,93.5159209374935,3695.98475741215
47.8,16.06,2622.7586,6479.25232,22.5783306,2622.7586,89.1771412508575,701.240326594137
47.9,16.75,2735.4425,41603.05632,139.0025928,2735.4425,97.5910255987089,1002.20697690353
48,17.16,2802.3996,26910.81587,87.76514146,2802.3996,96.8276503573706,853.705171080592
48.1,17.54,2864.4574,25891.03532,82.6099395,2864.4574,96.4870216174009,909.546473822691
48.2,18.01,2941.2131,32163.80235,99.94616802,2941.2131,97.4070951026484,833.976806307643
48.3,18.55,3029.4005,37659.30408,113.616355,3029.4005,97.7818510087415,835.339473565498
48.4,18.77,3065.3287,18122.76072,54.03467698,3065.3287,93.4979776656518,1178.34594961487
48.5,19.22,3138.8182,33567.03455,97.73994003,3138.8182,97.2124306560171,935.704364799948
48.6,19.6,3200.876,29821.68655,85.15077513,3200.876,96.4060101894987,1071.78837592663
48.7,19.77,3228.6387,16190.85291,45.83270968,3228.6387,92.0433953560298,1288.24215453545
48.8,20.04,3272.7324,23298.43045,65.0640995,3272.7324,94.4619977963432,1290.26759173844
